Data set contains 2000 examples.
[forest size], [trialNum], [training error], [cross-set error]
1, 0, 9.542857, 22.400000
1, 1, 12.228571, 29.200000
1, 2, 9.771429, 24.400000
1, 3, 10.457143, 31.200000
1, 4, 11.771429, 28.000000
1, 5, 9.085714, 29.600000
1, 6, 10.628571, 20.800000
1, 7, 49.828571, 51.600000
1, 8, 10.171429, 33.200000
1, 9, 10.400000, 32.400000
1, 10, 10.971429, 28.000000
1, 11, 11.885714, 30.800000
1, 12, 10.171429, 24.400000
1, 13, 9.257143, 25.200000
1, 14, 10.228571, 22.800000
1, 15, 10.457143, 27.200000
1, 16, 9.542857, 23.200000
1, 17, 8.800000, 28.400000
1, 18, 11.085714, 29.600000
1, 19, 11.028571, 30.000000
6, 0, 5.085714, 23.200000
6, 1, 6.342857, 25.600000
6, 2, 4.514286, 25.200000
6, 3, 4.914286, 24.800000
6, 4, 7.428571, 25.600000
6, 5, 5.371429, 20.800000
6, 6, 5.200000, 21.600000
6, 7, 8.114286, 24.800000
6, 8, 5.257143, 23.200000
6, 9, 5.085714, 28.000000
6, 10, 4.571429, 20.800000
6, 11, 5.142857, 22.400000
6, 12, 4.285714, 23.200000
6, 13, 4.914286, 21.600000
6, 14, 4.342857, 22.400000
6, 15, 4.457143, 26.000000
6, 16, 5.828571, 20.800000
6, 17, 4.800000, 20.000000
6, 18, 4.228571, 22.000000
6, 19, 5.257143, 22.400000
11, 0, 3.714286, 20.800000
11, 1, 3.142857, 19.200000
11, 2, 3.200000, 18.000000
11, 3, 3.371429, 25.200000
11, 4, 4.457143, 19.600000
11, 5, 3.028571, 16.000000
11, 6, 2.800000, 20.000000
11, 7, 3.142857, 24.400000
11, 8, 3.371429, 23.600000
11, 9, 3.485714, 21.600000
11, 10, 2.800000, 21.600000
11, 11, 3.314286, 21.600000
11, 12, 3.371429, 24.400000
11, 13, 3.257143, 22.400000
11, 14, 2.571429, 20.400000
11, 15, 3.085714, 20.000000
11, 16, 3.428571, 17.200000
11, 17, 3.028571, 25.200000
11, 18, 2.742857, 19.600000
11, 19, 3.085714, 21.600000
16, 0, 2.685714, 22.800000
16, 1, 2.685714, 20.400000
16, 2, 3.371429, 18.400000
16, 3, 2.857143, 21.200000
16, 4, 2.514286, 21.600000
16, 5, 3.600000, 15.200000
16, 6, 2.571429, 17.600000
16, 7, 2.628571, 19.200000
16, 8, 2.742857, 24.000000
16, 9, 2.571429, 21.600000
16, 10, 3.142857, 16.800000
16, 11, 2.628571, 24.800000
16, 12, 2.628571, 21.200000
16, 13, 2.742857, 22.000000
16, 14, 2.914286, 23.200000
16, 15, 3.142857, 26.400000
16, 16, 2.914286, 24.000000
16, 17, 2.342857, 22.800000
16, 18, 2.628571, 20.000000
16, 19, 3.028571, 18.000000
21, 0, 2.914286, 14.400000
21, 1, 2.400000, 24.000000
21, 2, 2.114286, 25.200000
21, 3, 2.400000, 25.600000
21, 4, 2.742857, 19.200000
21, 5, 2.171429, 21.600000
21, 6, 3.085714, 22.400000
21, 7, 2.685714, 20.400000
21, 8, 2.457143, 21.600000
21, 9, 2.571429, 20.800000
21, 10, 2.228571, 21.200000
21, 11, 2.457143, 22.800000
21, 12, 2.685714, 21.600000
21, 13, 2.342857, 19.600000
21, 14, 2.457143, 19.600000
21, 15, 2.914286, 20.400000
21, 16, 2.628571, 20.400000
21, 17, 2.571429, 25.600000
21, 18, 2.514286, 21.600000
21, 19, 2.628571, 26.800000
26, 0, 2.285714, 21.600000
26, 1, 2.171429, 18.800000
26, 2, 2.171429, 21.600000
26, 3, 2.114286, 23.200000
26, 4, 2.628571, 20.400000
26, 5, 2.171429, 18.000000
26, 6, 2.514286, 19.200000
26, 7, 2.571429, 20.000000
26, 8, 2.000000, 24.000000
26, 9, 2.514286, 23.600000
26, 10, 2.342857, 17.600000
26, 11, 2.171429, 17.200000
26, 12, 2.457143, 24.800000
26, 13, 2.685714, 18.400000
26, 14, 2.400000, 19.200000
26, 15, 1.942857, 21.200000
26, 16, 2.057143, 24.800000
26, 17, 2.285714, 21.600000
26, 18, 2.571429, 24.000000
26, 19, 2.342857, 27.200000
31, 0, 2.228571, 24.000000
31, 1, 2.685714, 22.000000
31, 2, 2.057143, 19.600000
31, 3, 2.342857, 25.600000
31, 4, 2.285714, 19.200000
31, 5, 2.342857, 24.000000
31, 6, 2.342857, 18.000000
