Data set contains 1000 examples.
[forest size], [trialNum], [training error], [cross-set error]
1, 0, 6.628571, 13.600000
1, 1, 8.114286, 25.600000
1, 2, 6.057143, 20.000000
1, 3, 9.028571, 28.800000
1, 4, 7.771429, 29.600000
1, 5, 6.742857, 22.400000
1, 6, 9.028571, 20.000000
1, 7, 8.457143, 22.400000
1, 8, 9.371429, 29.600000
1, 9, 8.800000, 28.000000
1, 10, 8.457143, 20.000000
1, 11, 8.342857, 33.600000
1, 12, 11.314286, 36.800000
1, 13, 5.371429, 20.000000
1, 14, 13.828571, 37.600000
1, 15, 6.742857, 16.000000
1, 16, 11.428571, 28.000000
1, 17, 11.771429, 39.200000
1, 18, 10.628571, 26.400000
1, 19, 9.371429, 28.800000
6, 0, 0.685714, 19.200000
6, 1, 0.342857, 16.000000
6, 2, 1.485714, 12.000000
6, 3, 1.028571, 15.200000
6, 4, 1.142857, 14.400000
6, 5, 1.257143, 19.200000
6, 6, 2.514286, 12.800000
6, 7, 0.800000, 14.400000
6, 8, 0.685714, 12.800000
6, 9, 1.142857, 12.800000
6, 10, 1.600000, 21.600000
6, 11, 1.142857, 22.400000
6, 12, 0.457143, 20.800000
6, 13, 1.142857, 17.600000
6, 14, 0.685714, 14.400000
6, 15, 0.914286, 24.000000
6, 16, 0.800000, 21.600000
6, 17, 0.800000, 21.600000
6, 18, 0.685714, 17.600000
6, 19, 1.485714, 16.000000
11, 0, 0.000000, 9.600000
11, 1, 0.000000, 13.600000
11, 2, 0.000000, 11.200000
11, 3, 0.114286, 12.000000
11, 4, 0.000000, 10.400000
11, 5, 0.114286, 15.200000
11, 6, 0.000000, 8.800000
11, 7, 0.000000, 7.200000
11, 8, 0.228571, 16.800000
11, 9, 0.228571, 7.200000
11, 10, 0.114286, 8.800000
11, 11, 0.228571, 16.000000
11, 12, 0.228571, 5.600000
11, 13, 0.228571, 13.600000
11, 14, 0.000000, 8.800000
11, 15, 0.000000, 5.600000
11, 16, 0.000000, 10.400000
11, 17, 0.000000, 12.000000
11, 18, 0.000000, 12.800000
11, 19, 0.000000, 8.000000
16, 0, 0.000000, 8.800000
16, 1, 0.000000, 11.200000
16, 2, 0.000000, 8.000000
16, 3, 0.000000, 11.200000
16, 4, 0.000000, 8.000000
16, 5, 0.000000, 7.200000
16, 6, 0.114286, 15.200000
16, 7, 0.000000, 5.600000
16, 8, 0.000000, 14.400000
16, 9, 0.000000, 5.600000
16, 10, 0.000000, 9.600000
16, 11, 0.000000, 17.600000
16, 12, 0.000000, 12.800000
16, 13, 0.000000, 8.000000
16, 14, 0.114286, 7.200000
16, 15, 0.000000, 11.200000
16, 16, 0.000000, 11.200000
16, 17, 0.114286, 9.600000
16, 18, 0.114286, 10.400000
16, 19, 0.114286, 4.800000
21, 0, 0.000000, 7.200000
21, 1, 0.000000, 9.600000
21, 2, 0.000000, 9.600000
21, 3, 0.000000, 8.000000
21, 4, 0.000000, 9.600000
21, 5, 0.000000, 4.800000
21, 6, 0.000000, 5.600000
21, 7, 0.000000, 4.800000
21, 8, 0.000000, 12.000000
21, 9, 0.000000, 8.000000
21, 10, 0.000000, 9.600000
21, 11, 0.000000, 4.800000
21, 12, 0.000000, 7.200000
21, 13, 0.000000, 6.400000
21, 14, 0.000000, 6.400000
21, 15, 0.000000, 6.400000
21, 16, 0.000000, 8.000000
